ibus-hangul 1.5.0 6.fc24 x86_64
ibus-kkc 1.5.22 4.fc24 x86_64
ibus-libpinyin 1.8.0 2.fc24 x86_64
ibus-libs 1.5.13 4.fc24 x86_64
ibus-libzhuyin 1.7.10 1.fc24 x86_64
ibus-m17n 1.3.4 20.fc24 x86_64
ibus-rawcode 1.3.2 7.fc24 x86_64
ibus-setup 1.5.13 4.fc24 noarch
ibus-wayland 1.5.13 4.fc24 x86_64
ifuse 1.1.3 8.fc24 x86_64
ilmbase 2.2.0 5.fc24 x86_64
ImageMagick 6.9.3.0 2.fc24 x86_64
ImageMagick-c++ 6.9.3.0 2.fc24 x86_64
ImageMagick-libs 6.9.3.0 2.fc24 x86_64
ImageMagick-perl 6.9.3.0 2.fc24 x86_64
im-chooser 1.6.6 1.fc24 x86_64
im-chooser-common 1.6.6 1.fc24 x86_64
imlib2 1.4.9 1.fc24 x86_64
imsettings 1.7.2 1.fc24 x86_64
imsettings-gsettings 1.7.2 1.fc24 x86_64
imsettings-libs 1.7.2 1.fc24 x86_64
info 6.1 3.fc24 x86_64
initial-setup 0.3.40 1.fc24 x86_64
initial-setup-gui 0.3.40 1.fc24 x86_64
initscripts 9.65 2.fc24 x86_64
inkscape 0.91 25.fc24 x86_64
intel-gpu-tools 2.99.917 24.20160712.fc24 x86_64
intel-graphics-update-tool 2.0.3 24.intel20163 x86_64
intellinuxgraphics-repo 2.0.3 24.intel20163 noarch
iotop 0.6 10.fc24 noarch
